matran,	mact,	mactkientao 
1       ,350     ,0       
1       ,366     ,359     
1       ,272     ,285     
2       ,142     ,148     
2       ,148     ,146     
2       ,148     ,145     
3       ,386     ,388     
3       ,441     ,0       
3       ,447     ,441     
4       ,49      ,48      
4       ,49      ,45      
5       ,462     ,468     
5       ,471     ,462     
6       ,526     ,521     
6       ,522     ,521     
6       ,203     ,193     
6       ,204     ,194     
7       ,307     ,306     
7       ,307     ,306     
7       ,308     ,312     
7       ,308     ,307     
8       ,167     ,0       
8       ,176     ,174     
9       ,0       ,0       
10      ,336     ,331     
10      ,330     ,332     
11      ,0       ,0       
12      ,497     ,496     
12      ,49      ,45      
12      ,47      ,0       
13      ,203     ,0       
13      ,204     ,0       
13      ,420     ,408     
14      ,337     ,0       
14      ,337     ,335     
14      ,337     ,338     
14      ,339     ,0       
14      ,338     ,327     
14      ,336     ,327     
14      ,255     ,250     
15      ,72      ,68      
15      ,72      ,70      
15      ,70      ,68      
15      ,366     ,356     
15      ,367     ,365     
16      ,440     ,442     
16      ,442     ,438     
16      ,226     ,227     
16      ,441     ,438     
17      ,285     ,282     
17      ,285     ,281     
18      ,149     ,145     
18      ,147     ,143     
18      ,148     ,146     
18      ,16      ,5       
18      ,19      ,16      
19      ,88      ,85      
19      ,471     ,454     
19      ,475     ,471     
19      ,477     ,462     
20      ,306     ,307     
20      ,307     ,308     
21      ,518     ,521     
21      ,338     ,335     
22      ,17      ,18      
22      ,27      ,21      
22      ,0       ,5       
22      ,502     ,496     
23      ,0       ,0       
24      ,474     ,471     
24      ,475     ,471     
24      ,176     ,157     
25      ,383     ,384     
25      ,142     ,145     
25      ,148     ,140     
26      ,417     ,415     
26      ,265     ,263     
26      ,285     ,282     
27      ,49      ,48      
27      ,50      ,46      
27      ,203     ,190     
27      ,197     ,203     
28      ,304     ,298     
29      ,232     ,226     
29      ,232     ,218     
29      ,226     ,227     
29      ,217     ,225     
29      ,98      ,99      
29      ,101     ,97      
30      ,446     ,440     
30      ,447     ,446     
30      ,440     ,426     
