matran,madoinha,madoikhach,vongdau,soibandoinha,sobandoikhach,thoigian,hightlight,trangthai
1,14,11,1,2,1,2018-08-11,https://www.youtube.com/embed/XfZMWwb5200,dadau
2,10,6,1,0,3,2018-08-11,https://www.youtube.com/embed/r93RC6mnHJw,dadau
3,15,17,1,1,2,2018-08-11,https://www.youtube.com/embed/wu0HhL-aslE,dadau
4,2,5,1,2,0,2018-08-11,https://www.youtube.com/embed/iS9uIlZ0EjQ,dadau
5,18,3,1,2,0,2018-08-11,https://www.youtube.com/embed/9leVu2px2qc,dadau
6,20,8,1,2,2,2018-08-11,https://www.youtube.com/embed/OcfR2yzbM4s,dadau
7,12,19,1,4,0,2018-08-11,https://www.youtube.com/embed/3fHyz0FqIgY,dadau
8,9,7,1,0,2,2018-08-11,https://www.youtube.com/embed/4JdNYTpJB48,dadau
9,16,4,1,0,0,2018-08-12,https://www.youtube.com/embed/cS0nDJ95lS8,dadau
10,1,13,1,0,2,2018-08-12,https://www.youtube.com/embed/9AsVbi5hb6Y,dadau
11,5,15,2,0,0,2018-08-18,https://www.youtube.com/embed/dgE_mutHFxc,dadau
12,19,2,2,1,2,2018-08-18,https://www.youtube.com/embed/BRAQDNyBAdc,dadau
13,8,16,2,2,1,2018-08-18,https://www.youtube.com/embed/MHGh9fSQ1MM,dadau
14,13,10,2,6,1,2018-08-18,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
15,3,14,2,3,2,2018-08-18,https://www.youtube.com/embed/GtYYEcXqafo,dadau
16,17,9,2,3,1,2018-08-18,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
17,11,20,2,2,0,2018-08-18,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
18,6,1,2,3,2,2018-08-18,https://www.youtube.com/embed/yiwY3pvZVzM,dadau
19,4,18,2,1,3,2018-08-18,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
20,7,12,2,0,2,2018-08-18,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
21,20,13,3,1,1,2018-08-25,https://www.youtube.com/embed/gNKY4Sf9RJ4,dadau
22,1,19,3,3,1,2018-08-25,https://www.youtube.com/embed/cikrNwNeghc,dadau
23,10,5,3,0,0,2018-08-25,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
24,18,7,3,2,1,2018-08-25,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
25,15,6,3,1,2,2018-08-25,https://www.youtube.com/embed/kqDDL9jnOGs,dadau
26,16,11,3,1,2,2018-08-25,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
27,2,8,3,2,2,2018-08-25,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
28,12,3,3,1,0,2018-08-25,https://www.youtube.com/embed/U9LZlBWzEeU,dadau
29,9,4,3,4,2,2018-08-26,https://www.youtube.com/embed/9vAM0XPeEWg,dadau
30,14,17,3,0,3,2018-08-28,https://www.youtube.com/embed/I5vlWzRgRUI,dadau
31,11,12,4,0,0,2018-09-01,1,chuadau
32,8,10,4,0,0,2018-09-01,1,chuadau
33,6,2,4,0,0,2018-09-01,1,chuadau
34,13,15,4,0,0,2018-09-01,1,chuadau
35,18,17,4,0,0,2018-09-01,1,chuadau
36,7,15,4,0,0,2018-09-01,1,chuadau
37,3,9,4,0,0,2018-09-01,1,chuadau
38,19,20,4,0,0,2018-09-01,1,chuadau
39,5,1,4,0,0,2018-09-02,1,chuadau
40,4,14,4,0,0,2018-09-02,1,chuadau
41,17,12,5,0,0,2018-09-15,1,chuadau
42,2,11,5,0,0,2018-09-15,1,chuadau
43,10,7,5,0,0,2018-09-15,1,chuadau
44,18,14,5,0,0,2018-09-15,1,chuadau
45,8,19,5,0,0,2018-09-15,1,chuadau
46,13,9,5,0,0,2018-09-15,1,chuadau
47,15,1,5,0,0,2018-09-15,1,chuadau
48,6,5,5,0,0,2018-09-15,1,chuadau
49,20,4,5,0,0,2018-09-16,1,chuadau
50,16,3,5,0,0,2018-09-18,1,chuadau


18 3 2
18 3 1
18 14 16
18 16 18
18 16 15
