Bernd Leno,2,19,1,Goalkeeper,Germany,26,1992-03-04,190,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p80201.png,0,0
Emiliano Martínez,3,26,1,Goalkeeper,Argentina,26,1992-09-02,195,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p98980.png,0,0
Dejan Iliev,4,50,1,Goalkeeper,Macedonia,23,1995-02-25,195,87,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p153122.png,0,0
Héctor Bellerín,5,2,1,Defender,Spain,23,1995-03-19,178,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p98745.png,0,0
Laurent Koscielny,6,6,1,Defender,France,33,1985-09-10,186,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p51507.png,0,0
Rob Holding,7,16,1,Defender,England,23,1995-09-20,189,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p156074.png,0,0
Nacho Monreal,8,18,1,Defender,Spain,32,1986-02-26,179,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p38411.png,0,0
Shkodran Mustafi,9,20,1,Defender,Germany,26,1992-04-17,184,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p69140.png,0,0
Konstantinos Mavropanos,10,27,1,Defender,Greece,21,1997-12-11,194,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p233963.png,0,0
Sead Kolasinac,11,31,1,Defender,Bosnia And Herzegovina,25,1993-06-20,183,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p111457.png,0,0
Stephan Lichtsteiner,12,12,1,Defender,Switzerland,34,1984-01-16,182,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p27335.png,0,0
Carl Jenkinson,13,22,1,Defender,England,26,1992-02-08,185,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p80254.png,0,0
Sokratis,14,5,1,Defender,Greece,30,1988-06-09,186,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p39476.png,0,0
Mohamed Elneny,15,4,1,Midfielder,Egypt,26,1992-07-11,180,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p153256.png,0,0
Henrikh Mkhitaryan,16,7,1,Midfielder,Armenia,29,1989-01-21,177,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p57249.png,0,0
Aaron Ramsey,17,8,1,Midfielder,Wales,28,1990-12-26,178,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41792.png,0,0
